,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to MT643825.1 Lumpy skin disease virus strain 210LSD-,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1~, 136090, 138269, 135825, 137997, 135908, 138082,^OM530217.1 Lumpy skin disease virus isolate LSDV/R,OM793603.1 Lumpy skin disease virus isolate LSDV_R,SRB6402, 1.1595313128216E-60, 4.32319721656656E-55, 3.71382078226088E-54, 2.10929354583372E-23, 1.52460016899506E-23, 2.43103856624449E-12,NS,NS, 4.04121180963557E-14,
 1,,,,,,,,MH646674.1 Lumpy skin disease virus strain LSDV/Ru,MT643825.1 Lumpy skin disease virus strain 210LSD-,MW656252.1 Lumpy skin disease virus isolate LSDV/H
 1,,,,,,,,,ALB790,MN636843.1 Lumpy skin disease virus isolate LSD-14
 1,,,,,,,,,ALB1000,MN636842.1 Lumpy skin disease virus isolate LSD-22
 1,,,,,,,,,ALB1573,MN636841.1 Lumpy skin disease virus isolate LSD-22
 1,,,,,,,,,ALB1707,MN636840.1 Lumpy skin disease virus isolate LSD-24
 1,,,,,,,,,ALB4192,MN636839.1 Lumpy skin disease virus isolate LSD-10
 1,,,,,,,,,ALB4770,MN636838.1 Lumpy skin disease virus isolate LSD-58
 1,,,,,,,,,KY829023,MK441838.1 Lumpy skin disease virus strain Herbiva
 1,,,,,,,,,GRC314,MG972412.1 Lumpy skin disease virus isolate Cro201
 1,,,,,,,,,GRC386-16,KX764643.1 Lumpy skin disease virus strain SIS-Lum
 1,,,,,,,,,GRC478,KX764645.1 Lumpy skin disease virus strain Neethli
 1,,,,,,,,,GRC498A,AF409138.1 Lumpy skin disease virus isolate Neethl
 1,,,,,,,,,GRC715,
 1,,,,,,,,,MKD5000,
 1,,,,,,,,,MKD5011,
 1,,,,,,,,,SRB4592,
 1,,,,,,,,,SRB5778,
 1,,,,,,,,,SRB6040,
 1,,,,,,,,,SRB7695,
 1,,,,,,,,,MT992618.1 Lumpy skin disease virus isolate KZ-Kos,
 1,,,,,,,,,MN642592.1 Lumpy skin disease virus strain Kubash/,
 1,,,,,,,,,MN995838.1 Lumpy skin disease virus isolate pendik,
 1,,,,,,,,,MH893760.2 Lumpy skin disease virus strain LSDV/Ru,
 1,,,,,,,,,KX894508.1 Lumpy skin disease virus isolate 155920,
 1,,,,,,,,,ON152411.1 Lumpy skin disease virus isolate LSDV72,
